Time,Channel A
(s),(mV)

0.09728200,4.47219400
0.09804800,4.57062000
0.09881400,4.65674200
0.09958000,4.74901600
0.10034600,4.84744100
0.10111200,4.95816900
0.10187800,5.06889700
0.10264400,5.18577700
0.10341000,5.31496000
0.10417600,5.45029500
0.10494200,5.59178100
0.10570800,5.73326700
0.10647400,5.85629900
0.10724000,5.96702700
0.10800600,6.05314900
0.10877200,6.13312000
0.10953800,6.21924200
0.11030400,6.32997000
0.11107000,6.44685000
0.11183600,6.55142700
0.11260200,6.66215500
0.11336800,6.76058000
0.11413400,6.84055100
0.11490000,6.90821800
0.11566600,6.96358300
0.11643200,7.01894700
0.11719800,7.08046200
0.11796400,7.11737200
0.11873000,7.16658400
0.11949600,7.20964500
0.12026200,7.24655500
0.12102800,7.30191900
0.12179400,7.35728300
0.12256000,7.41264700
0.12332600,7.46801100
0.12409200,7.54183000
0.12485800,7.60949800
0.12562400,7.68946800
0.12639000,7.76943800
0.12715600,7.86786400
0.12792200,7.97859100
0.12868800,8.08932000
0.12945400,8.20620100
0.13022000,8.31692900
0.13098600,8.39074700
0.13175200,8.43996000
0.13251800,8.47071800
0.13328400,8.50147600
0.13405000,8.52608300
0.13481600,8.56299200
0.13558200,8.60605200
0.13634800,8.66141700
0.13711400,8.71678100
0.13788000,8.77829600
0.13864600,8.82750900
0.13941200,8.84596300
0.14017800,8.84596300
0.14094400,8.83981200
0.14171000,8.82135800
0.14247600,8.80290300
0.14324200,8.79675100
0.14400800,8.77214500
0.14477400,8.75369100
0.14554000,8.75984200
0.14630600,8.76599300
0.14707200,8.76599300
0.14783800,8.74753900
0.14860400,8.71678100
0.14937000,8.68602300
0.15013600,8.67371900
0.15090200,8.66756800
0.15166800,8.69217500
0.15243400,8.72908400
0.15320000,8.79675100
0.15396600,8.85826700
0.15473200,8.91978400
0.15549800,8.96284400
0.15626400,8.98129900
0.15703000,8.99360200
0.15779600,9.00590400
0.15856200,9.04281500
0.15932800,9.09202700
0.16009400,9.17199800
0.16086000,9.27042300
0.16162600,9.38730200
0.16239200,9.51648500
0.16315800,9.65182000
0.16392400,9.78100300
0.16469000,9.90403500
0.16545600,10.02092000
0.16622200,10.12549000
0.16698800,10.24852000
0.16775400,10.34695000
0.16852000,10.46998000
0.16928600,10.59916000
0.17005200,10.75295000
0.17081800,10.92520000
0.17158400,11.09744000
0.17235000,11.25123000
0.17311600,11.39887000
0.17388200,11.51575000
0.17464800,11.61417000
0.17541400,11.71260000
0.17618000,11.80487000
0.17694600,11.90330000
0.17771200,12.01402000
0.17847800,12.12475000
0.17924400,12.22318000
0.18001000,12.30315000
0.18077600,12.35851000
0.18154200,12.37082000
0.18230800,12.36466000
0.18307400,12.35851000
0.18384000,12.35851000
0.18460600,12.36466000
0.18537200,12.37697000
0.18613800,12.41388000
0.18690400,12.45079000
0.18767000,12.50615000
0.18843600,12.57382000
0.18920200,12.62918000
0.18996800,12.66609000
0.19073400,12.68455000
0.19150000,12.69070000
0.19226600,12.69685000
0.19303200,12.72146000
0.19379800,12.77067000
0.19456400,12.81988000
0.19533000,12.86909000
0.19609600,12.93061000
0.19686200,13.01058000
0.19762800,13.08440000
0.19839400,13.13976000
0.19916000,13.20128000
0.19992600,13.25049000
0.20069200,13.29970000
0.20145800,13.36122000
0.20222400,13.44119000
0.20299000,13.53346000
0.20375600,13.61959000
0.20452200,13.68725000
0.20528800,13.74262000
0.20605400,13.79183000
0.20682000,13.82874000
0.20758600,13.84719000
0.20835200,13.87180000
0.20911800,13.90871000
0.20988400,13.93947000
0.21065000,13.95792000
0.21141600,13.98253000
0.21218200,13.98868000
0.21294800,13.99483000
0.21371400,13.99483000
0.21448000,13.97638000
0.21524600,13.95177000
0.21601200,13.92717000
0.21677800,13.89025000
0.21754400,13.85334000
0.21831000,13.82259000
0.21907600,13.79183000
0.21984200,13.76107000
0.22060800,13.71801000
0.22137400,13.68110000
0.22214000,13.64419000
0.22290600,13.60113000
0.22367200,13.54577000
0.22443800,13.48425000
0.22520400,13.40428000
0.22597000,13.33661000
0.22673600,13.27510000
0.22750200,13.20743000
0.22826800,13.12746000
0.22903400,13.03519000
0.22980000,12.93676000
0.23056600,12.83834000
