Time,Channel A
(s),(mV)

0.09728200,-8.39689900
0.09804800,-8.25541300
0.09881400,-8.13238100
0.09958000,-8.05548700
0.10034600,-8.02472900
0.10111200,-8.06471300
0.10187800,-8.15083600
0.10264400,-8.22465500
0.10341000,-8.29232200
0.10417600,-8.35076200
0.10494200,-8.43380800
0.10570800,-8.50762700
0.10647400,-8.59375000
0.10724000,-8.70140200
0.10800600,-8.82135800
0.10877200,-8.95054100
0.10953800,-9.10433000
0.11030400,-9.29195300
0.11107000,-9.52571300
0.11183600,-9.77792700
0.11260200,-10.02707000
0.11336800,-10.26083000
0.11413400,-10.46998000
0.11490000,-10.67606000
0.11566600,-10.88521000
0.11643200,-11.07899000
0.11719800,-11.30352000
0.11796400,-11.57726000
0.11873000,-11.84486000
0.11949600,-12.06939000
0.12026200,-12.23241000
0.12102800,-12.37082000
0.12179400,-12.47232000
0.12256000,-12.55844000
0.12332600,-12.62303000
0.12409200,-12.66302000
0.12485800,-12.66917000
0.12562400,-12.63226000
0.12639000,-12.57997000
0.12715600,-12.54921000
0.12792200,-12.55229000
0.12868800,-12.55229000
0.12945400,-12.52461000
0.13022000,-12.45386000
0.13098600,-12.35544000
0.13175200,-12.24778000
0.13251800,-12.16781000
0.13328400,-12.13091000
0.13405000,-12.12783000
0.13481600,-12.14321000
0.13558200,-12.19242000
0.13634800,-12.27547000
0.13711400,-12.39235000
0.13788000,-12.52153000
0.13864600,-12.61688000
0.13941200,-12.67840000
0.14017800,-12.72453000
0.14094400,-12.75221000
0.14171000,-12.81988000
0.14247600,-12.90908000
0.14324200,-13.00750000
0.14400800,-13.09978000
0.14477400,-13.18590000
0.14554000,-13.24742000
0.14630600,-13.28125000
0.14707200,-13.30278000
0.14783800,-13.32123000
0.14860400,-13.35814000
0.14937000,-13.43196000
0.15013600,-13.51808000
0.15090200,-13.60113000
0.15166800,-13.67187000
0.15243400,-13.67803000
0.15320000,-13.63804000
0.15396600,-13.54269000
0.15473200,-13.39505000
0.15549800,-13.24742000
0.15626400,-13.07210000
0.15703000,-12.93061000
0.15779600,-12.81681000
0.15856200,-12.69377000
0.15932800,-12.56459000
0.16009400,-12.41080000
0.16086000,-12.26009000
0.16162600,-12.07554000
0.16239200,-11.88792000
0.16315800,-11.70029000
0.16392400,-11.53728000
0.16469000,-11.41117000
0.16545600,-11.28506000
0.16622200,-11.09744000
0.16698800,-10.90982000
0.16775400,-10.77448000
0.16852000,-10.67913000
0.16928600,-10.59916000
0.17005200,-10.49766000
0.17081800,-10.37771000
0.17158400,-10.26083000
0.17235000,-10.12549000
0.17311600,-10.01784000
0.17388200,-9.95324800
0.17464800,-9.95632300
0.17541400,-9.98708100
0.17618000,-10.01784000
0.17694600,-10.03629000
0.17771200,-10.06705000
0.17847800,-10.06090000
0.17924400,-9.99938500
0.18001000,-9.91326200
0.18077600,-9.82406400
0.18154200,-9.73486600
0.18230800,-9.63644100
0.18307400,-9.52263600
0.18384000,-9.37807500
0.18460600,-9.22736200
0.18537200,-9.03358700
0.18613800,-8.78137200
0.18690400,-8.51993000
0.18767000,-8.24311000
0.18843600,-8.01857700
0.18920200,-7.82480200
0.18996800,-7.67101300
0.19073400,-7.56643700
0.19150000,-7.51722400
0.19226600,-7.47416300
0.19303200,-7.41264700
0.19379800,-7.35113100
0.19456400,-7.25885800
0.19533000,-7.14812900
0.19609600,-7.02817400
0.19686200,-6.94512700
0.19762800,-6.87130900
0.19839400,-6.82517200
0.19916000,-6.81286900
0.19992600,-6.83747500
0.20069200,-6.87438400
0.20145800,-6.91437000
0.20222400,-6.94205100
0.20299000,-6.99126400
0.20375600,-7.07123500
0.20452200,-7.10814400
0.20528800,-7.06508400
0.20605400,-7.01587100
0.20682000,-7.00356800
0.20758600,-7.02509800
0.20835200,-7.07123500
0.20911800,-7.13890200
0.20988400,-7.19734200
0.21065000,-7.28346400
0.21141600,-7.36958600
0.21218200,-7.42802600
0.21294800,-7.44648100
0.21371400,-7.46801100
0.21448000,-7.48646600
0.21524600,-7.52952700
0.21601200,-7.59411900
0.21677800,-7.69869500
0.21754400,-7.82172700
0.21831000,-7.96936500
0.21907600,-8.10469900
0.21984200,-8.21850300
